cedula,mac,edad,sexo,idtienda,nombre,catalogo,monto,descuento,fecha
3,,, ,1,Samsung                       ,Electronicos                  ,345,0,2019/06/24 00:00:00.000
3,,, ,1,Samsung                       ,Electronicos                  ,382,0,2019/06/22 00:00:00.000
3,,, ,2,Levi                          ,Ropa                          ,150,0,2019/06/23 00:00:00.000
3,,, ,2,Levi                          ,Ropa                          ,498,25,2019/06/24 00:00:00.000
3,,, ,4,EPA                           ,Electrodomesticos             ,187,0,2019/06/23 00:00:00.000
3,,, ,7,CM                            ,Mercado                       ,700,70,2019/06/22 00:00:00.000
3,,, ,9,OtraTienda                    ,Accesorios                    ,955,115,2019/06/23 00:00:00.000
4,,41,M,2,Levi                          ,Ropa                          ,76,0,2019/07/02 00:00:00.000
4,,41,M,2,Levi                          ,Ropa                          ,623,62,2019/07/01 00:00:00.000
4,,41,M,5,TCL                           ,Libros                        ,582,29,2019/07/01 00:00:00.000
4,,41,M,10,Toys                          ,Juguetes                      ,707,71,2019/07/01 00:00:00.000
4,,41,M,10,Toys                          ,Juguetes                      ,847,102,2019/07/02 00:00:00.000
7,6363718,, ,1,Samsung                       ,Electronicos                  ,337,0,2019/07/10 00:00:00.000
7,6363718,, ,2,Levi                          ,Ropa                          ,342,0,2019/07/10 00:00:00.000
7,6363718,, ,2,Levi                          ,Ropa                          ,927,111,2019/07/05 00:00:00.000
7,6363718,, ,4,EPA                           ,Electrodomesticos             ,39,0,2019/07/05 00:00:00.000
7,6363718,, ,6,M.A.C.                        ,Perfumes                      ,596,30,2019/07/09 00:00:00.000
7,6363718,, ,7,CM                            ,Mercado                       ,276,0,2019/07/04 00:00:00.000
7,6363718,, ,8,MueblesINC                    ,Muebles                       ,995,119,2019/07/10 00:00:00.000
15,1092514,, ,2,Levi                          ,Ropa                          ,594,30,2019/06/30 00:00:00.000
15,1092514,, ,3,Vans                          ,Zapatos                       ,307,0,2019/06/29 00:00:00.000
15,1092514,, ,4,EPA                           ,Electrodomesticos             ,715,72,2019/06/30 00:00:00.000
15,1092514,, ,5,TCL                           ,Libros                        ,805,97,2019/06/29 00:00:00.000
15,1092514,, ,7,CM                            ,Mercado                       ,818,98,2019/06/30 00:00:00.000
17,,43,F,2,Levi                          ,Ropa                          ,261,0,2019/07/08 00:00:00.000
17,,43,F,3,Vans                          ,Zapatos                       ,123,0,2019/07/07 00:00:00.000
17,,43,F,3,Vans                          ,Zapatos                       ,329,0,2019/07/08 00:00:00.000
17,,43,F,3,Vans                          ,Zapatos                       ,972,117,2019/07/07 00:00:00.000
17,,43,F,10,Toys                          ,Juguetes                      ,682,68,2019/06/22 00:00:00.000
18,8593772,, ,1,Samsung                       ,Electronicos                  ,833,100,2019/06/29 00:00:00.000
18,8593772,, ,1,Samsung                       ,Electronicos                  ,876,105,2019/06/30 00:00:00.000
18,8593772,, ,6,M.A.C.                        ,Perfumes                      ,674,67,2019/06/29 00:00:00.000
18,8593772,, ,7,CM                            ,Mercado                       ,124,0,2019/06/30 00:00:00.000
18,8593772,, ,9,OtraTienda                    ,Accesorios                    ,622,62,2019/06/30 00:00:00.000
21,4172186,60,M,1,Samsung                       ,Electronicos                  ,976,117,2019/07/02 00:00:00.000
21,4172186,60,M,2,Levi                          ,Ropa                          ,584,29,2019/07/03 00:00:00.000
21,4172186,60,M,4,EPA                           ,Electrodomesticos             ,753,75,2019/06/26 00:00:00.000
21,4172186,60,M,5,TCL                           ,Libros                        ,455,23,2019/06/25 00:00:00.000
21,4172186,60,M,7,CM                            ,Mercado                       ,106,0,2019/07/02 00:00:00.000
21,4172186,60,M,10,Toys                          ,Juguetes                      ,35,0,2019/07/03 00:00:00.000
21,4172186,60,M,10,Toys                          ,Juguetes                      ,364,0,2019/06/25 00:00:00.000
24,7794471,, ,2,Levi                          ,Ropa                          ,806,97,2019/07/03 00:00:00.000
24,7794471,, ,4,EPA                           ,Electrodomesticos             ,344,0,2019/07/03 00:00:00.000
24,7794471,, ,5,TCL                           ,Libros                        ,801,96,2019/07/03 00:00:00.000
24,7794471,, ,10,Toys                          ,Juguetes                      ,263,0,2019/07/02 00:00:00.000
26,6868314,, ,2,Levi                          ,Ropa                          ,681,68,2019/07/04 00:00:00.000
31,,72,F,8,MueblesINC                    ,Muebles                       ,766,77,2019/06/24 00:00:00.000
31,,72,F,9,OtraTienda                    ,Accesorios                    ,592,30,2019/06/24 00:00:00.000
31,,72,F,10,Toys                          ,Juguetes                      ,151,0,2019/06/25 00:00:00.000
35,,, ,5,TCL                           ,Libros                        ,682,68,2019/07/05 00:00:00.000
39,7511288,, ,3,Vans                          ,Zapatos                       ,510,26,2019/06/30 00:00:00.000
39,7511288,, ,4,EPA                           ,Electrodomesticos             ,367,0,2019/06/29 00:00:00.000
39,7511288,, ,10,Toys                          ,Juguetes                      ,488,24,2019/06/29 00:00:00.000
43,9096723,66,F,4,EPA                           ,Electrodomesticos             ,348,0,2019/07/07 00:00:00.000
43,9096723,66,F,7,CM                            ,Mercado                       ,882,106,2019/07/06 00:00:00.000
43,9096723,66,F,9,OtraTienda                    ,Accesorios                    ,272,0,2019/07/07 00:00:00.000
43,9096723,66,F,10,Toys                          ,Juguetes                      ,873,105,2019/07/07 00:00:00.000
45,8199435,71,M,2,Levi                          ,Ropa                          ,413,21,2019/07/08 00:00:00.000
45,8199435,71,M,8,MueblesINC                    ,Muebles                       ,311,0,2019/07/08 00:00:00.000
49,7732826,, ,2,Levi                          ,Ropa                          ,621,62,2019/07/03 00:00:00.000
49,7732826,, ,3,Vans                          ,Zapatos                       ,11,0,2019/07/02 00:00:00.000
